Feature,Importance
IncN,0.09469722439655238
IncFII(K),0.07379617635048942
IncFIB(K),0.07168044941529046
IncR,0.06847856324023288
IncHI1B,0.052520385773590396
IncL/M(pMU407),0.04723235428312758
ColRNAI,0.046419165672611486
IncFII,0.04280076693069266
IncFIA(HI1),0.041108235300753034
Col440I,0.03680906604724014
FIA(pBK30683),0.026296055558031994
Col440II,0.02592705146024342
IncA/C2,0.024007309953811853
IncL/M(pOXA-48),0.021788821171182447
IncQ1,0.021631327824170977
IncX3,0.019598343238200026
IncFII(Yp),0.01893432384509399
IncFIB(Mar),0.017763224689693602
IncI2,0.017073633071613636
IncL/M,0.016561282260584412
IncFIB(pKPHS1),0.016175892159235452
IncFIB(AP001918),0.015290854337506214
FII(pBK30683),0.014953281132026718
IncFIB(pQil),0.014945232776996222
ColpVC,0.013130954241123627
IncHI2,0.011689157425459966
IncFIA,0.010947427694382339
IncFII(pHN7A8),0.010632724635690994
IncFII(29),0.009365337839859714
IncHI2A,0.009251667865733797
ColE10,0.009006133088366675
IncP1,0.008810448835842298
IncB/O/K/Z,0.008746935047734133
ColKP3,0.008396649318284632
IncI1,0.007654924837740234
pSL483,0.007547811717574299
Col156,0.00700342700860125
IncFII(pRSB107),0.006874829881068437
Col(MG828),0.006292866044876318
IncFII(p14),0.005397535718251372
Col(BS512),0.004164103874819684
IncU,0.003059284250904857
Col(IRGK),0.002556470360766688
Col(Ye4449),0.0018659208832666474
IncX4,0.00044487516202175594
Col(IMGS31),0.00027251982608251596
IncFII(pCRY),0.00022954118282587119
IncFII(pKPX1),0.00016598653230715516
Col(MGD2),3.445837443461723e-06
IncFII(S),0.0
IncFII(pMET),0.0
IncFII(pCoo),0.0
IncFIC(FII),0.0
repA,0.0
