,Importance
IncFIA(HI1),0.12496029160068699
Col440I,0.0710506585694443
IncFII(K),0.07032761221434211
IncR,0.06709886778326715
IncFIB(K),0.06336051166077629
IncN,0.058366595766023176
ColRNAI,0.0498779706194912
IncFIB(pKPHS1),0.03863622731861434
Col440II,0.03632666132107051
ColpVC,0.03558306310625476
IncFII,0.031253010886174284
IncX3,0.026084525852534395
IncL/M(pOXA-48),0.024728521341360624
IncHI1B,0.0243883187072
IncA/C2,0.024322775814825337
IncFII(pHN7A8),0.02360712244803432
FIA(pBK30683),0.021740785183257526
IncQ1,0.020882114943583607
IncHI2A,0.018763392605930074
IncL/M(pMU407),0.013688908846304665
IncFIB(Mar),0.013644377954567336
IncHI2,0.013351797220306005
IncFIB(pQil),0.013216662029036621
ColKP3,0.012671530053922162
IncX4,0.011282805859359079
IncL/M,0.008769317009508473
IncP1,0.00857855603755884
FII(pBK30683),0.008032730085972578
IncI2,0.00729917119238751
Col(MG828),0.007037042626958344
IncFII(Yp),0.006491776762686627
IncFII(pRSB107),0.005908281279193228
pSL483,0.005331014609023287
Col(BS512),0.004934043730979325
Col156,0.0037749503674121437
IncFIB(AP001918),0.00369279333856921
IncFII(29),0.002982813920444555
IncB/O/K/Z,0.002881407461965038
IncFII(pCoo),0.002641886948833898
Col(IRGK),0.0021060586200053037
IncU,0.0016370607188453308
IncFII(S),0.0015254544170089175
IncI1,0.0012366573561048131
ColE10,0.001225202486045223
IncFII(pKPX1),0.0011894116038189074
IncFIA,0.001157617018454114
IncFII(pCRY),0.00091170005800205
repA,0.0004852538038609161
Col(IMGS31),0.0003914327384831672
IncFIC(FII),0.00030478354576206454
IncFII(pMET),0.00017475803870922266
Col(Ye4449),8.37145170401668e-05
Col(MGD2),0.0
IncFII(p14),0.0
